@relation bg

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute class {-1,1}

@data
1.3703,2.3704,0.37035,1.3703,2.3704,1
0.03369,1.0337,-0.96631,0.03369,1.0337,1
0.06646,1.0665,-0.93354,0.06646,1.0665,1
2.3118,3.3118,1.3118,2.3118,3.3118,1
1.4898,2.4898,0.48979,1.4898,2.4898,1
0.85995,1.8599,-0.14005,0.85995,1.8599,1
1.3975,2.3975,0.39745,1.3975,2.3975,1
1.4233,2.4233,0.42331,1.4233,2.4233,1
1.7884,2.7884,0.78841,1.7884,2.7884,1
1.8195,2.8195,0.81954,1.8195,2.8195,1
1.7899,2.7899,0.78987,1.7899,2.7899,1
1.6904,2.6904,0.69038,1.6904,2.6904,1
2.1311,3.1311,1.1311,2.1311,3.1311,1
1.6431,2.6431,0.64305,1.6431,2.6431,1
0.00493,1.0049,-0.99507,0.00493,1.0049,1
2.1525,3.1525,1.1525,2.1525,3.1525,1
0.54123,1.5412,-0.45877,0.54123,1.5412,1
-0.4275,0.5725,-1.4275,-0.4275,0.5725,1
-0.2612,0.7388,-1.2612,-0.2612,0.7388,1
2.6081,3.6081,1.6081,2.6081,3.6081,1
2.1513,3.1513,1.1513,2.1513,3.1513,1
2.4958,3.4958,1.4958,2.4958,3.4958,1
3.2464,4.2464,2.2464,3.2464,4.2464,1
0.35986,1.3599,-0.64014,0.35986,1.3599,1
1.7931,2.7931,0.79306,1.7931,2.7931,1
1.6125,2.6125,0.61246,1.6125,2.6125,1
3.3141,4.3141,2.3141,3.3141,4.3141,1
0.98283,1.9828,-0.017172,0.98283,1.9828,1
3.6211,4.6211,2.6211,3.6211,4.6211,1
2.2964,3.2964,1.2964,2.2964,3.2964,1
0.92901,1.929,-0.070986,0.92901,1.929,1
0.32407,1.3241,-0.67593,0.32407,1.3241,1
1.4125,2.4125,0.41248,1.4125,2.4125,1
1.151,2.151,0.15101,1.151,2.151,1
2.2074,3.2074,1.2074,2.2074,3.2074,1
2.6897,3.6897,1.6897,2.6897,3.6897,1
1.983,2.983,0.98299,1.983,2.983,1
1.3925,2.3925,0.39251,1.3925,2.3925,1
1.6117,2.6117,0.61167,1.6117,2.6117,1
0.96122,1.9612,-0.038779,0.96122,1.9612,1
1.3693,2.3693,0.36926,1.3693,2.3693,1
2.4125,3.4125,1.4125,2.4125,3.4125,1
1.1925,2.1925,0.19255,1.1925,2.1925,1
2.5467,3.5467,1.5467,2.5467,3.5467,1
2.8353,3.8353,1.8353,2.8353,3.8353,1
1.2377,2.2377,0.23767,1.2377,2.2377,1
0.45006,1.4501,-0.54994,0.45006,1.4501,1
2.6272,3.6272,1.6272,2.6272,3.6272,1
4.5142,5.5142,3.5142,4.5142,5.5142,1
0.76343,1.7634,-0.23657,0.76343,1.7634,1
0.64842,1.6484,-0.35158,0.64842,1.6484,1
1.4958,2.4958,0.49585,1.4958,2.4958,1
0.30462,1.3046,-0.69538,0.30462,1.3046,1
0.89569,1.8957,-0.10431,0.89569,1.8957,1
-0.5465,0.4535,-1.5465,-0.5465,0.4535,1
2.7539,3.7539,1.7539,2.7539,3.7539,1
2.4349,3.4349,1.4349,2.4349,3.4349,1
0.12959,1.1296,-0.87041,0.12959,1.1296,1
1.7441,2.7441,0.74407,1.7441,2.7441,1
2.1215,3.1215,1.1215,2.1215,3.1215,1
-0.0524,0.9476,-1.0524,-0.0524,0.9476,1
1.4424,2.4424,0.4424,1.4424,2.4424,1
2.9592,3.9592,1.9592,2.9592,3.9592,1
2.0407,3.0407,1.0407,2.0407,3.0407,1
